Season,Division,Team,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
2007,AFC East,BUF,3,@NWE,16.5,41,"L, 7-38",Lost,Over
2018,AFC East,BUF,3,@MIN,16.5,41,"W, 27-6",Won,Under
2007,AFC East,BUF,10,NWE,16,46.5,"L, 10-56",Lost,Over
2010,AFC East,BUF,3,@NWE,14.5,43,"L, 30-38",Won,Over
2009,AFC East,BUF,1,@NWE,13.5,47.5,"L, 24-25",Won,Over
2012,AFC East,BUF,9,@NWE,13.5,54,"L, 31-37",Won,Over
2018,AFC East,BUF,8,NWE,13.5,44.5,"L, 6-25",Lost,Under
2018,AFC East,BUF,15,@NWE,13.5,45,"L, 12-24",Won,Under
2005,AFC East,BUF,15,@CIN,13,44,"W, 37-27",Won,Over
2010,AFC East,BUF,2,@GNB,13,43,"L, 7-34",Lost,Under
2006,AFC East,BUF,9,@IND,12.5,45,"L, 16-17",Won,Under
2010,AFC East,BUF,6,@BAL,12.5,40,"L, 34-37",Won,Over
2012,AFC East,BUF,8,@HOU,11.5,48,"L, 9-21",Lost,Under
2007,AFC East,BUF,5,DAL,11,45,"L, 24-25",Won,Over
2017,AFC East,BUF,15,@NWE,11,47.5,"L, 16-37",Lost,Over
2013,AFC East,BUF,1,NWE,10.5,50.5,"L, 21-23",Won,Under
2013,AFC East,BUF,8,@NOR,10.5,48.5,"L, 17-35",Lost,Over
2018,AFC East,BUF,6,@HOU,10.5,40.5,"L, 13-20",Won,Under
2018,AFC East,BUF,9,CHI,10.5,38,"L, 9-41",Lost,Over
2006,AFC East,BUF,1,@NWE,10,41,"L, 17-19",Won,Under
2007,AFC East,BUF,2,@PIT,10,39,"L, 3-26",Lost,Under
2011,AFC East,BUF,16,@NWE,10,50,"L, 21-49",Lost,Over
2012,AFC East,BUF,5,@SFO,10,45,"L, 3-45",Lost,Over
2003,AFC East,BUF,16,@NWE,9.5,34.5,"L, 0-31",Lost,Unde
2006,AFC East,BUF,5,@CHI,9.5,34.5,"L, 7-40",Lost,Over
2009,AFC East,BUF,6,@NYJ,9.5,35.5,"W, 16-13",Won,Under
2011,AFC East,BUF,11,@NYJ,9.5,42.5,"L, 24-28",Won,Over
2014,AFC East,BUF,13,@DEN,9.5,47.5,"L, 17-24",Won,Under
2005,AFC East,BUF,10,@SDG,9,42,"L, 10-48",Lost,Over
2006,AFC East,BUF,16,@BAL,9,37.5,"L, 7-19",Lost,Under
2007,AFC East,BUF,11,@JAX,9,37,"L, 14-36",Lost,Over
2007,AFC East,BUF,16,@PHI,9,39,"L, 9-17",Won,Under
2010,AFC East,BUF,15,NWE,9,45.5,"L, 3-34",Lost,Under
2009,AFC East,BUF,10,@JAX,8.5,41,"L, 15-18",Won,Under
2017,AFC East,BUF,11,@KAN,8.5,47,"W, 16-10",Won,Under
2018,AFC East,BUF,4,@GNB,8.5,43.5,"L, 0-22",Lost,Under
2005,AFC East,BUF,14,DEN,8,35,"L, 17-28",Lost,Over
2008,AFC East,BUF,14,@NYJ,8,41,"L, 27-31",Won,Over
2009,AFC East,BUF,15,@ATL,8,40,"L, 3-31",Lost,Under
2017,AFC East,BUF,4,@ATL,8,48,"W, 23-17",Won,Under
2017,AFC East,BUF,17,@JAX,8,39.5,"L, 3-10",Won,Under
2002,AFC East,BUF,3,@DEN,7.5,47,"L, 23-28",Won,Over
2009,AFC East,BUF,9,@TEN,7.5,41,"L, 17-41",Lost,Over
2011,AFC East,BUF,3,NWE,7.5,54.5,"W, 34-31",Won,Over
2017,AFC East,BUF,12,NWE,7.5,48.5,"L, 3-23",Lost,Under
2018,AFC East,BUF,1,@BAL,7.5,39,"L, 3-47",Lost,Over
2018,AFC East,BUF,2,LAC,7.5,41.5,"L, 20-31",Lost,Over
2004,AFC East,BUF,9,@NWE,7,38,"L, 6-29",Lost,Under
2005,AFC East,BUF,8,@NWE,7,43.5,"L, 16-21",Won,Under
2009,AFC East,BUF,7,@CAR,7,37,"W, 20-9",Won,Under
2009,AFC East,BUF,14,NWE,7,41,"L, 10-17",Push,Under
2010,AFC East,BUF,7,@KAN,7,46,"L, 10-13",Won,Under
2010,AFC East,BUF,11,PIT,7,44,"L, 16-19",Won,Under
2011,AFC East,BUF,13,@SDG,7,49,"L, 10-37",Lost,Under
2013,AFC East,BUF,16,@NWE,7,46.5,"L, 20-34",Lost,Over
2014,AFC East,BUF,1,@CHI,7,47,"W, 23-20",Won,Under
2015,AFC East,BUF,10,@NWE,7,48,"L, 13-20",Push,Under
2017,AFC East,BUF,10,@LAC,7,41.5,"L, 24-54",Lost,Over
2018,AFC East,BUF,7,@IND,7,43.5,"L, 5-37",Lost,Under
2018,AFC East,BUF,10,@NYJ,7,38,"W, 41-10",Won,Over
2019,AFC East,BUF,4,NWE,7,41.5,"L, 10-16",Won,Under
2019,AFC East,BUF,15,@NWE,7,38.5,"L, 17-24",Push,Over
2002,AFC East,BUF,15,@GNB,6.5,43.5,"L, 0-10",Lost,Under
2004,AFC East,BUF,4,@NYJ,6.5,37,"L, 14-16",Won,Under
2006,AFC East,BUF,2,@MIA,6.5,37,"W, 16-6",Won,Under
2007,AFC East,BUF,12,@WAS,6.5,37.5,"W, 17-16",Won,Under
2008,AFC East,BUF,15,@DEN,6.5,46.5,"W, 30-23",Won,Over
2013,AFC East,BUF,7,@MIA,6.5,43.5,"W, 23-21",Won,Over
2014,AFC East,BUF,5,@DET,6.5,43,"W, 17-14",Won,Under
2014,AFC East,BUF,16,@NWE,6.5,44,"W, 17-9",Won,Under
2017,AFC East,BUF,2,@CAR,6.5,43,"L, 3-9",Won,Under
2019,AFC East,BUF,12,@DAL,6.5,46.5,"W, 26-15",Won,Under
2019,AFC East,BUF,13,BAL,6.5,44,"L, 17-24",Lost,Under
2002,AFC East,BUF,7,@MIA,6,45.5,"W, 23-10",Won,Under
2010,AFC East,BUF,4,NYJ,6,37,"L, 14-38",Lost,Over
2013,AFC East,BUF,6,CIN,6,41,"L, 24-27",Won,Over
2018,AFC East,BUF,5,TEN,6,38.5,"W, 13-12",Won,Under
2003,AFC East,BUF,8,@KAN,5.5,43.5,"L, 5-38",Lost,Under
2004,AFC East,BUF,3,NWE,5.5,35,"L, 17-31",Lost,Over
2006,AFC East,BUF,7,NWE,5.5,37,"L, 6-28",Lost,Under
2006,AFC East,BUF,12,SDG,5.5,42.5,"L, 21-24",Won,Over
2008,AFC East,BUF,16,NWE,5.5,34.5,"L, 0-13",Lost,Under
2009,AFC East,BUF,3,NOR,5.5,51.5,"L, 7-27",Lost,Under
2010,AFC East,BUF,14,@MIA,5.5,40,"W, 17-14",Won,Under
2015,AFC East,BUF,11,@KAN,5.5,41.5,"L, 22-30",Lost,Over
2016,AFC East,BUF,8,NWE,5.5,48,"L, 25-41",Lost,Over
2016,AFC East,BUF,9,@SEA,5.5,43.5,"L, 25-31",Lost,Over
2020,AFC East,BUF,6,KAN,5.5,55,"L, 17-26",Lost,Under
2003,AFC East,BUF,14,@TEN,5,37,"L, 26-28",Won,Over
2007,AFC East,BUF,14,@CLE,5,37,"L, 0-8",Lost,Under
2010,AFC East,BUF,12,@MIN,5,44,"L, 14-38",Lost,Over
2012,AFC East,BUF,6,@ARI,5,44,"W, 19-16",Won,Under
2012,AFC East,BUF,14,SEA,5,44,"L, 17-50",Lost,Over
2012,AFC East,BUF,15,@MIA,5,43,"L, 10-24",Lost,Under
2014,AFC East,BUF,10,@MIA,5,42,"L, 9-22",Lost,Under
2016,AFC East,BUF,3,ARI,5,48,"W, 33-18",Won,Over
2004,AFC East,BUF,6,@BAL,4.5,31,"L, 6-20",Lost,Under
2011,AFC East,BUF,9,@DAL,4.5,49,"L, 7-44",Lost,Over
2012,AFC East,BUF,4,NWE,4.5,48.5,"L, 28-52",Lost,Over
2013,AFC East,BUF,9,KAN,4.5,40.5,"L, 13-23",Lost,Under
2003,AFC East,BUF,9,@DAL,4,37,"L, 6-10",Push,Under
2004,AFC East,BUF,11,@SEA,4,38,"W, 38-9",Won,Over
2005,AFC East,BUF,11,CAR,4,36.5,"L, 9-13",Push,Under
2008,AFC East,BUF,2,@JAX,4,37,"W, 20-16",Won,Under
2010,AFC East,BUF,10,@CIN,4,41,"W, 49-31",Won,Over
2013,AFC East,BUF,4,BAL,4,45,"W, 23-20",Won,Under
2013,AFC East,BUF,5,@CLE,4,40.5,"L, 24-37",Lost,Over
2014,AFC East,BUF,14,GNB,4,50,"W, 21-13",Won,Under
2002,AFC East,BUF,2,@MIN,3.5,49,"W, 45-39",Won,Over
2002,AFC East,BUF,10,@KAN,3.5,52.5,"L, 16-17",Won,Under
2002,AFC East,BUF,13,@NWE,3.5,45,"L, 17-27",Lost,Under
2004,AFC East,BUF,2,@OAK,3.5,37.5,"L, 10-13",Won,Under
2005,AFC East,BUF,13,NWE,3.5,38,"L, 7-35",Lost,Over
2006,AFC East,BUF,13,@NYJ,3.5,37.5,"W, 31-13",Won,Over
2008,AFC East,BUF,9,@NWE,3.5,41,"L, 10-20",Lost,Under
2009,AFC East,BUF,8,HOU,3.5,41.5,"L, 10-31",Lost,Under
2009,AFC East,BUF,11,MIA,3.5,38.5,"W, 31-14",Won,Over
2009,AFC East,BUF,12,NYJ,3.5,37,"L, 13-19",Lost,Under
2011,AFC East,BUF,1,@KAN,3.5,40,"W, 41-7",Won,Over
2013,AFC East,BUF,2,CAR,3.5,43.5,"W, 24-23",Won,Over
2016,AFC East,BUF,4,@NWE,3.5,41,"W, 16-0",Won,Under
2017,AFC East,BUF,3,DEN,3.5,40,"W, 26-16",Won,Over
2018,AFC East,BUF,12,@MIA,3.5,40,"L, 17-21",Lost,Under
2019,AFC East,BUF,5,@TEN,3.5,39.5,"W, 14-7",Won,Under
2020,AFC East,BUF,16,MIA,3.5,43,"W, 56-26",Won,Over
2021,AFC East,BUF,13,@TAM,3.5,54.5,"L, 27-33",Lost,Over
2002,AFC East,BUF,1,NYJ,3,43,"L, 31-37",Lost,Over
2002,AFC East,BUF,5,OAK,3,53.5,"L, 31-49",Lost,Over
2002,AFC East,BUF,11,@NYJ,3,45.5,"L, 13-31",Lost,Under
2003,AFC East,BUF,3,@MIA,3,40.5,"L, 7-17",Lost,Under
2003,AFC East,BUF,11,IND,3,38.5,"L, 14-17",Push,Under
2003,AFC East,BUF,12,@NYG,3,35.5,"W, 24-7",Won,Under
2004,AFC East,BUF,8,NYJ,3,34,"W, 22-17",Won,Over
2005,AFC East,BUF,7,@OAK,3,42,"L, 17-38",Lost,Over
2005,AFC East,BUF,12,@MIA,3,35.5,"L, 23-24",Won,Over
2006,AFC East,BUF,11,JAX,3,35,"W, 27-24",Won,Over
2007,AFC East,BUF,1,DEN,3,37,"L, 14-15",Won,Under
2007,AFC East,BUF,4,NYJ,3,37,"W, 17-14",Won,Under
2007,AFC East,BUF,6,BAL,3,33.5,"W, 19-14",Won,Under
2007,AFC East,BUF,7,@NYJ,3,38.5,"W, 13-3",Won,Under
2007,AFC East,BUF,15,NYG,3,32,"L, 21-38",Lost,Over
2010,AFC East,BUF,1,MIA,3,39,"L, 10-15",Lost,Under
2010,AFC East,BUF,8,CHI,3,41.5,"L, 19-22",Push,Under
2011,AFC East,BUF,5,PHI,3,53,"W, 31-24",Won,Over
2011,AFC East,BUF,6,@NYG,3,49,"L, 24-27",Push,Over
2011,AFC East,BUF,10,@MIA,3,44,"L, 8-35",Lost,Under
2011,AFC East,BUF,15,DEN,3,43.5,"W, 40-14",Won,Over
2012,AFC East,BUF,1,@NYJ,3,39,"L, 28-48",Lost,Over
2012,AFC East,BUF,11,@IND,3,51.5,"L, 13-20",Lost,Under
2014,AFC East,BUF,4,@HOU,3,42.5,"L, 17-23",Lost,Under
2014,AFC East,BUF,8,@NYJ,3,40.5,"W, 43-23",Won,Over
2015,AFC East,BUF,6,CIN,3,43,"L, 21-34",Lost,Over
2015,AFC East,BUF,16,NYJ,3,42,"W, 22-17",Won,Under
2016,AFC East,BUF,1,@BAL,3,44.5,"L, 7-13",Lost,Under
2016,AFC East,BUF,12,@OAK,3,48.5,"L, 24-38",Lost,Over
2017,AFC East,BUF,5,@CIN,3,39,"L, 16-20",Lost,Under
2018,AFC East,BUF,11,JAX,3,36.5,"W, 24-21",Won,Over
2019,AFC East,BUF,9,@CLE,3,42,"L, 16-19",Push,Under
2020,AFC East,BUF,9,SEA,3,55.5,"W, 44-34",Won,Over
2020,AFC East,BUF,10,@ARI,3,56,"L, 30-32",Won,Over
2020,AFC East,BUF,19,@KAN,3,55,"L, 24-38",Lost,Over
2023,AFC East,BUF,12,@PHI,3,48.5,"L, 34-37",Push,Over
2005,AFC East,BUF,2,@TAM,2.5,35,"L, 3-19",Lost,Under
